farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2,pH_soil_ph,OrganicMatter_organic_matter_percent,Nitrogen_nitrogen_content,Phosphorus_phosphorus_content,Potassium_potassium_content,Rainfall_annual_rainfall,Temperature_avg_temperature,Yield_yield_per_hectare,Profit_profit_per_hectare,WaterUsage_water_usage_mm,CarbonFootprint_carbon_footprint_kg_co2,planting_month,planting_season,growing_days,growing_period_category,profit_margin,profit_margin_category,cost_efficiency,cost_efficiency_category,water_efficiency,water_efficiency_category,carbon_efficiency,carbon_efficiency_category,sustainable_practices_count,sustainability_level,elevation_category,humidity_category,solar_radiation_category
FARM_00011,FIELD_FARM_00011_4,California_Central_Valley,36.800953,-121.491758,783.4,Clayey_Loam,6.35,5.39,47.2,68.9,98.6,17.2,394.8,46.2,17.0,Soybeans,Maturity_Group_3,2023-06-19,2023-10-14,Organic_Compost,2292.9,Micro_Sprinkler,9,No_Till,54.0,Low,Low,No,2.76,1627.47,1268.93,-358.54,229.7,209.4,Neutral,High,High,High,Low,Low,Moderate,Low,Low,Medium,Low,6,Summer,117,Medium,-28.25530171089028,Loss,0.001695883795092997,Low,0.012015672616456247,Low,0.01318051575931232,Medium,4,VeryHigh,Highland,Dry,Low
FARM_00012,FIELD_FARM_00012_1,Midwest,45.601974,-97.281586,1432.3,Clayey_Loam,6.8,3.58,28.6,34.9,239.5,8.1,669.6,42.1,15.6,Soybeans,Maturity_Group_3,2023-05-26,2023-10-10,Organic_Compost,2368.3,Drip_Irrigation,2,Strip_Till,56.3,Medium,Low,No,3.44,1444.86,1529.92,85.06,1129.3,260.3,Neutral,Medium,Medium,Medium,High,Medium,Cool,Medium,Medium,nan,Low,5,Spring,137,Long,5.559767830997699,Low,0.002380853508298382,Low,0.003046134773753653,None,0.013215520553207837,Medium,3,VeryHigh,Mountain,Dry,Low
FARM_00013,FIELD_FARM_00013_1,Midwest,44.393774,-87.58487,923.8,Sandy,5.54,1.67,27.2,50.3,147.0,10.6,875.0,64.6,29.1,Lettuce,Lettuce_Standard,2023-04-12,2023-08-08,Nitrogen_High,111.2,Subsurface_Drip,6,Conventional_Till,1.7,Low,Medium,Yes,23.66,1138.42,27552.0,26413.58,279.8,639.0,Neutral,Low,Medium,High,Medium,High,Cool,VeryHigh,VeryHigh,Medium,High,4,Spring,118,Medium,95.86810394889665,High,0.02078319073804044,VeryHigh,0.0845604002859185,High,0.03702660406885759,High,0,Low,Highland,Moderate,VeryHigh
FARM_00014,FIELD_FARM_00014_1,Southeast,33.360846,-86.502772,1316.2,Silt,6.87,4.42,41.3,39.6,192.1,18.5,1385.3,45.7,18.8,Beans,Beans_Standard,2023-03-23,2023-07-03,No_Fertilizer,0.0,Subsurface_Drip,5,Deep_Till,44.8,Medium,Low,Yes,2.5,939.96,960.27,20.31,473.6,367.4,Neutral,High,High,Medium,Medium,High,Moderate,Low,Medium,High,Medium,3,Spring,102,Medium,2.1150301477709395,Low,0.0026596876462828207,Medium,0.005278716216216216,None,0.006804572672836146,Low,0,Low,Mountain,Dry,Moderate
FARM_00015,FIELD_FARM_00015_2,Southwest,36.400744,-95.531178,860.2,Clayey_Loam,6.12,4.19,39.6,24.9,286.5,22.7,245.4,81.9,29.6,Tomatoes,Cherry,2023-05-11,2023-08-19,NPK_Balanced,100.1,Drip_Irrigation,2,Reduced_Till,0.4,High,High,No,29.0,798.02,23160.15,22362.14,1296.9,433.6,Neutral,High,Medium,Low,High,Low,Moderate,VeryHigh,VeryHigh,nan,Medium,5,Spring,100,Medium,96.55438328335524,High,0.036339941354853265,VeryHigh,0.02236101472742694,Medium,0.06688191881918819,VeryHigh,2,High,Highland,Humid,VeryHigh
FARM_00016,FIELD_FARM_00016_2,Pacific_Northwest,42.593864,-110.200406,561.4,Clay,7.32,3.33,39.8,51.4,137.6,11.8,1411.5,57.0,25.6,Soybeans,Maturity_Group_3,2023-04-13,2023-08-30,Phosphorus_High,98.1,Rainfall_Only,0,Reduced_Till,49.4,Low,Low,No,3.99,845.57,2298.61,1453.04,0.0,308.7,Alkaline,Medium,Medium,High,Medium,High,Cool,Medium,High,Low,Medium,4,Spring,139,Long,63.213855329960275,High,0.004718710455668957,High,0.0,None,0.012925170068027212,Medium,1,Medium,Highland,Moderate,High
FARM_00017,FIELD_FARM_00017_5,Midwest,39.828913,-91.319117,654.5,Sandy,5.52,2.44,15.4,72.4,181.9,12.0,644.3,64.9,29.5,Carrots,Carrots_Standard,2023-04-15,2023-08-13,No_Fertilizer,0.0,Drip_Irrigation,1,No_Till,3.2,High,Low,Yes,23.79,881.62,10564.33,9682.71,1819.5,157.5,Neutral,Medium,Low,High,Medium,Medium,Cool,VeryHigh,VeryHigh,nan,Low,4,Spring,120,Medium,91.65474762715667,High,0.02698441505410494,VeryHigh,0.013075020610057707,Low,0.15104761904761904,VeryHigh,2,High,Highland,Moderate,VeryHigh
FARM_00018,FIELD_FARM_00018_5,Southeast,29.659221,-98.888763,398.9,Clayey_Loam,7.27,5.45,52.6,47.5,127.4,19.9,1347.8,47.3,28.7,Rice,Medium_Grain,2023-05-25,2023-08-24,NPK_Balanced,97.5,Subsurface_Drip,9,Deep_Till,46.0,Low,Low,No,12.72,1006.88,5583.36,4576.48,202.2,760.3,Alkaline,High,High,Medium,Medium,High,Moderate,High,High,Medium,High,5,Spring,91,Medium,81.96641448876662,High,0.012633084379469252,High,0.0629080118694362,High,0.016730238063922136,High,1,Medium,Rolling,Dry,VeryHigh
FARM_00019,FIELD_FARM_00019_1,Northeast,43.98357,-79.110834,55.2,Clay,6.02,2.76,30.9,47.4,237.5,11.5,1051.1,72.7,26.4,Rice,Long_Grain,2023-04-01,2023-08-19,NPK_Balanced,112.4,Rainfall_Only,0,No_Till,35.3,High,Medium,Yes,5.03,816.56,2089.09,1272.53,0.0,396.4,Neutral,Medium,Medium,Medium,High,High,Cool,Medium,High,Low,Medium,4,Spring,140,Long,60.913124853405066,High,0.006159988243362399,High,0.0,None,0.01268920282542886,Medium,1,Medium,Lowland,Humid,VeryHigh
FARM_00020,FIELD_FARM_00020_5,Southeast,35.226178,-88.890888,841.4,Sandy_Loam,6.91,2.68,26.0,39.4,246.2,18.8,1444.0,80.6,24.3,Carrots,Carrots_Standard,2023-04-15,2023-08-09,Urea,150.9,Rainfall_Only,0,Conventional_Till,3.3,Medium,Low,No,36.4,781.27,16726.68,15945.41,0.0,671.2,Neutral,Medium,Medium,Medium,High,High,Moderate,VeryHigh,VeryHigh,Low,High,4,Spring,116,Medium,95.32919862160333,High,0.046590807275333754,VeryHigh,0.0,None,0.05423122765196662,VeryHigh,1,Medium,Highland,Humid,High
FARM_00021,FIELD_FARM_00021_2,Southeast,36.119052,-90.744395,387.4,Clayey_Loam,7.27,3.83,32.2,54.3,110.0,15.5,903.1,45.8,17.3,Soybeans,Maturity_Group_2,2023-04-18,2023-09-15,Phosphorus_High,81.5,Subsurface_Drip,9,Reduced_Till,49.0,Low,Low,Yes,3.7,1115.69,2076.85,961.16,169.3,386.8,Alkaline,Medium,Medium,High,Medium,High,Moderate,Medium,High,Low,Medium,4,Spring,150,Long,46.27970243397453,High,0.0033163333900994006,Medium,0.021854695806261076,Medium,0.009565667011375388,Medium,0,Low,Rolling,Dry,Low
FARM_00022,FIELD_FARM_00022_5,Northeast,40.275185,-68.808254,941.9,Sandy_Loam,6.02,2.25,13.1,70.8,71.1,9.6,1291.8,64.1,28.9,Peas,Peas_Standard,2023-04-13,2023-08-06,Phosphorus_High,72.2,Subsurface_Drip,11,Minimum_Till,45.0,Medium,High,Yes,0.9,1106.23,269.78,-836.45,135.9,427.0,Neutral,Medium,Low,High,Low,High,Cool,Low,Low,Low,Medium,4,Spring,115,Medium,-310.04892875676484,nan,0.0008135740307169395,Low,0.006622516556291391,Low,0.002107728337236534,Low,0,Low,Highland,Moderate,VeryHigh
FARM_00023,FIELD_FARM_00023_4,Southwest,25.240854,-115.015546,317.2,Sandy,6.3,0.97,9.6,43.2,138.8,21.9,391.8,66.3,26.1,Onions,Onions_Standard,2023-02-05,2023-05-11,Nitrogen_High,186.0,Micro_Sprinkler,12,Conventional_Till,4.2,Medium,Low,No,16.83,931.19,5787.85,4856.66,202.7,741.2,Neutral,Low,Low,Medium,Medium,Low,Moderate,High,High,Medium,High,2,Winter,95,Medium,83.91129694100572,High,0.01807364769810672,VeryHigh,0.08302910705476073,High,0.02270642201834862,High,2,High,Rolling,Moderate,VeryHigh
FARM_00024,FIELD_FARM_00024_2,Great_Plains,38.991332,-101.57277,1345.1,Loam,6.79,3.23,40.5,17.8,149.5,13.9,732.8,76.8,18.9,Beans,Beans_Standard,2023-03-02,2023-06-14,Urea,204.2,Subsurface_Drip,9,Minimum_Till,49.5,Low,Low,No,3.34,1016.18,858.52,-157.66,232.2,540.1,Neutral,Medium,High,Low,Medium,Medium,Cool,Medium,Medium,Medium,Medium,3,Spring,104,Medium,-18.364161580394168,Loss,0.0032868192643035685,Medium,0.01438415159345392,Low,0.006184039992593963,Low,1,Medium,Mountain,Humid,Moderate
FARM_00025,FIELD_FARM_00025_4,Pacific_Northwest,45.542728,-111.019785,481.0,Loam,6.08,3.01,21.8,14.4,297.5,10.3,2100.7,51.5,25.2,Corn,Dent_Corn,2023-05-03,2023-08-30,Nitrogen_High,114.6,Rainfall_Only,0,Minimum_Till,28.5,Medium,Low,No,9.12,645.29,1805.05,1159.75,0.0,526.8,Neutral,Medium,Medium,Low,High,High,Cool,High,High,Low,Medium,5,Spring,119,Medium,64.25029777568488,High,0.014133180430504114,VeryHigh,0.0,None,0.017312072892938495,High,1,Medium,Rolling,Moderate,High
FARM_00026,FIELD_FARM_00026_5,Great_Plains,35.673325,-93.058797,1241.9,Clayey_Loam,6.26,2.74,20.2,67.0,216.3,12.1,479.4,79.5,20.9,Beans,Beans_Standard,2023-05-06,2023-09-05,No_Fertilizer,0.0,Rainfall_Only,0,Minimum_Till,50.1,Low,High,Yes,1.78,876.18,458.54,-417.65,0.0,176.4,Neutral,Medium,Medium,High,High,Medium,Cool,Low,Low,Low,Low,5,Spring,122,Long,-91.08256640642037,Loss,0.0020315460293546988,Low,0.0,None,0.010090702947845805,Medium,0,Low,Mountain,Humid,Moderate
FARM_00027,FIELD_FARM_00027_3,California_Central_Valley,38.652746,-119.22513,250.1,Clayey_Loam,6.64,4.65,43.6,79.8,238.1,18.1,422.5,46.4,18.1,Soybeans,Maturity_Group_3,2023-04-22,2023-08-27,Phosphorus_High,102.2,Subsurface_Drip,12,Conventional_Till,57.1,Medium,Medium,No,3.22,1088.7,1716.66,627.96,115.5,509.3,Neutral,High,High,High,High,Medium,Moderate,Medium,High,Low,Medium,4,Spring,127,Long,36.580336234315475,High,0.0029576559199044733,Medium,0.02787878787878788,Medium,0.0063224032986452,Low,1,Medium,Rolling,Dry,Moderate
FARM_00028,FIELD_FARM_00028_1,Southwest,31.512693,-117.194229,518.5,Loam,7.44,3.03,23.8,39.7,122.0,21.7,564.7,46.3,16.5,Corn,Flint_Corn,2023-03-24,2023-07-28,NPK_Balanced,146.2,Rainfall_Only,0,Reduced_Till,21.5,Medium,Medium,Yes,10.73,1113.62,2200.13,1086.51,0.0,359.3,Alkaline,Medium,Medium,Medium,Medium,Medium,Moderate,High,High,Low,Medium,3,Spring,126,Long,49.38390004227023,High,0.009635243619906253,High,0.0,None,0.02986362371277484,High,0,Low,Highland,Dry,Low
FARM_00029,FIELD_FARM_00029_2,Pacific_Northwest,43.158644,-122.205187,1256.2,Clay,7.3,4.32,41.4,37.9,63.7,10.3,2086.0,40.2,20.0,Rice,Long_Grain,2023-04-07,2023-07-23,NPK_Balanced,128.5,Subsurface_Drip,7,Minimum_Till,46.7,Low,Medium,Yes,5.46,1230.32,2049.39,819.07,233.0,433.7,Alkaline,High,High,Medium,Low,High,Cool,Medium,High,Medium,Medium,4,Spring,107,Medium,39.96652662499574,High,0.004437869822485207,Medium,0.023433476394849787,Medium,0.012589347475213281,Medium,0,Low,Mountain,Dry,Moderate
FARM_00030,FIELD_FARM_00030_4,Midwest,40.78036,-80.934312,223.0,Sandy_Loam,7.0,2.57,19.3,31.0,127.5,9.6,856.1,76.0,20.2,Peas,Peas_Standard,2023-04-16,2023-08-23,Organic_Compost,2104.9,Rainfall_Only,0,Deep_Till,45.9,Medium,Medium,No,1.41,1395.29,501.98,-893.31,0.0,294.4,Neutral,Medium,Low,Medium,Medium,High,Cool,Low,Low,Low,Low,4,Spring,129,Long,-177.9572891350253,nan,0.0010105426112134396,Low,0.0,None,0.004789402173913044,Low,2,High,Rolling,Humid,Moderate
FARM_00031,FIELD_FARM_00031_3,Pacific_Northwest,42.528524,-113.701307,408.5,Loam,6.97,3.23,21.3,20.9,229.0,11.6,456.9,50.0,18.5,Wheat,Durum_Wheat,2023-09-15,2024-01-19,Organic_Compost,1614.3,Rainfall_Only,0,Minimum_Till,127.3,Low,Low,No,6.59,1434.31,2001.25,566.94,0.0,191.8,Neutral,Medium,Medium,Low,High,Medium,Cool,High,Medium,Low,Low,9,Fall,126,Long,28.329294191130543,High,0.004594543717885255,High,0.0,None,0.03435870698644421,High,2,High,Rolling,Dry,Moderate
FARM_00032,FIELD_FARM_00032_3,Pacific_Northwest,42.987573,-118.904115,486.0,Sandy,5.52,0.67,5.0,11.9,95.4,11.3,1285.0,80.2,27.3,Lettuce,Lettuce_Standard,2023-04-23,2023-08-02,Phosphorus_High,119.8,Subsurface_Drip,13,Reduced_Till,1.9,Medium,Low,No,17.73,846.48,26258.21,25411.72,149.6,480.5,Neutral,Low,Low,Low,Low,High,Cool,High,VeryHigh,Low,Medium,4,Spring,101,Medium,96.77628444589331,High,0.02094556280124752,VeryHigh,0.11851604278074868,High,0.036899063475546307,High,1,Medium,Rolling,Humid,VeryHigh
FARM_00033,FIELD_FARM_00033_2,Midwest,43.847784,-91.701016,1112.5,Sandy,6.45,1.02,5.9,68.4,296.1,10.1,703.0,52.3,15.3,Carrots,Carrots_Standard,2023-03-06,2023-07-07,Organic_Compost,2065.0,Sprinkler,4,Strip_Till,3.2,Medium,Low,Yes,25.82,1489.09,9556.01,8066.92,850.4,299.3,Neutral,Low,Low,High,High,Medium,Cool,VeryHigh,VeryHigh,High,Low,3,Spring,123,Long,84.41724108702272,High,0.017339448925182493,VeryHigh,0.030362182502351835,Medium,0.08626795856999665,VeryHigh,1,Medium,Mountain,Moderate,Low
FARM_00034,FIELD_FARM_00034_2,Southeast,35.972943,-93.018114,574.7,Sandy,6.13,1.21,23.8,22.9,72.6,19.6,854.6,77.7,21.6,Potatoes,Fingerling,2023-04-02,2023-08-24,Potassium_High,131.8,Rainfall_Only,0,Reduced_Till,2936.8,Medium,Low,Yes,36.28,8040.7,11409.11,3368.42,0.0,285.7,Neutral,Low,Medium,Low,Low,High,Moderate,VeryHigh,High,Low,Low,4,Spring,144,Long,29.5239505973735,High,0.004512044971208975,High,0.0,None,0.12698634931746589,VeryHigh,0,Low,Highland,Humid,Moderate
FARM_00035,FIELD_FARM_00035_3,Southeast,32.479991,-91.298643,516.6,Clay,6.62,4.97,46.7,42.2,69.0,15.5,801.9,83.5,15.1,Beans,Beans_Standard,2023-05-17,2023-10-14,Potassium_High,140.9,Rainfall_Only,0,Reduced_Till,53.8,Medium,Low,No,3.3,867.09,1169.24,302.14,0.0,299.7,Neutral,High,High,Medium,Low,High,Moderate,Medium,Medium,Low,Low,5,Spring,150,Long,25.840717046970678,High,0.0038058333045012625,Medium,0.0,None,0.011011011011011011,Medium,1,Medium,Highland,Humid,Low
FARM_00036,FIELD_FARM_00036_1,Great_Plains,48.728075,-91.352907,970.0,Loam,7.48,4.83,34.4,59.4,281.3,10.7,584.0,81.2,15.5,Corn,Flint_Corn,2023-05-23,2023-09-18,Nitrogen_High,147.7,Subsurface_Drip,11,Conventional_Till,28.6,Medium,Medium,No,10.39,1028.18,2244.88,1216.71,176.2,738.6,Alkaline,High,Medium,High,High,Medium,Cool,High,High,Low,High,5,Spring,118,Medium,54.19933359466875,High,0.010105234492015017,High,0.05896708286038593,High,0.014067154075277552,Medium,1,Medium,Highland,Humid,Low
FARM_00037,FIELD_FARM_00037_1,Northeast,42.379125,-69.853265,98.0,Clay,6.81,4.82,48.3,46.4,156.7,11.3,950.5,60.8,29.9,Wheat,Durum_Wheat,2023-11-07,2024-03-21,Organic_Compost,1820.9,Rainfall_Only,0,Reduced_Till,132.8,Medium,Low,No,6.88,1573.54,2038.12,464.58,0.0,217.6,Neutral,High,High,Medium,Medium,High,Cool,High,Medium,Low,Low,11,Fall,135,Long,22.79453614114969,Medium,0.004372307027466731,Medium,0.0,None,0.03161764705882353,High,2,High,Lowland,Moderate,VeryHigh
FARM_00038,FIELD_FARM_00038_4,California_Central_Valley,37.612596,-119.070913,5.0,Clayey_Loam,6.46,3.15,26.1,26.4,60.5,16.1,495.7,59.2,20.8,Beans,Beans_Standard,2023-04-05,2023-09-02,NPK_Balanced,111.2,Rainfall_Only,0,Reduced_Till,51.8,High,High,Yes,1.72,1095.7,429.97,-665.73,0.0,408.3,Neutral,Medium,Medium,Medium,Low,Medium,Moderate,Low,Low,Low,Medium,4,Spring,150,Long,-154.83173244644973,nan,0.0015697727480149676,Low,0.0,None,0.004212588782757776,Low,0,Low,Lowland,Moderate,Moderate
FARM_00039,FIELD_FARM_00039_1,Pacific_Northwest,46.547527,-115.883948,769.0,Sandy,5.57,1.27,5.9,77.0,256.6,12.2,1722.5,49.7,22.8,Carrots,Carrots_Standard,2023-05-18,2023-09-02,Nitrogen_High,167.6,Rainfall_Only,0,Conventional_Till,2.6,High,Low,Yes,20.25,982.81,6851.73,5868.92,0.0,633.0,Neutral,Low,Low,High,High,High,Cool,High,High,Low,High,5,Spring,107,Medium,85.65603139645025,High,0.02060418595659385,VeryHigh,0.0,None,0.031990521327014215,High,0,Low,Highland,Dry,High
FARM_00040,FIELD_FARM_00040_3,Northeast,41.910716,-73.326524,66.6,Sandy,6.79,2.12,25.1,48.6,71.7,8.5,923.6,51.7,25.9,Peas,Peas_Standard,2023-03-28,2023-06-30,Phosphorus_High,129.5,Rainfall_Only,0,Strip_Till,41.2,High,Medium,No,1.43,875.94,458.41,-417.54,0.0,320.8,Neutral,Medium,Medium,Medium,Low,High,Cool,Low,Low,Low,Medium,3,Spring,94,Medium,-91.08440042756484,Loss,0.0016325319085782129,Low,0.0,None,0.004457605985037406,Low,1,Medium,Lowland,Moderate,High
FARM_00041,FIELD_FARM_00041_3,Midwest,47.7863,-84.861775,987.7,Clay,6.24,3.06,26.2,26.7,282.5,8.4,1019.4,48.5,28.2,Wheat,Spring_Wheat,2023-10-11,2024-03-01,Nitrogen_High,171.9,Rainfall_Only,0,Conventional_Till,103.7,High,High,Yes,2.38,1215.11,767.64,-447.48,0.0,579.0,Neutral,Medium,Medium,Medium,High,High,Cool,Low,Low,Low,Medium,10,Fall,142,Long,-58.29294982022824,Loss,0.0019586704084403883,Low,0.0,None,0.004110535405872193,Low,0,Low,Highland,Dry,VeryHigh
FARM_00042,FIELD_FARM_00042_5,California_Central_Valley,36.883477,-121.96371,1228.0,Sandy_Loam,6.2,1.54,15.9,68.8,148.0,16.5,413.8,75.5,17.6,Carrots,Carrots_Standard,2023-04-17,2023-07-25,NPK_Balanced,127.9,Subsurface_Drip,12,No_Till,2.5,Low,High,No,29.26,967.39,10124.9,9157.51,188.6,356.3,Neutral,Low,Low,High,Medium,Medium,Moderate,VeryHigh,VeryHigh,Low,Medium,4,Spring,99,Medium,90.44543649813825,High,0.030246332916403933,VeryHigh,0.15514316012725346,High,0.08212180746561887,VeryHigh,2,High,Mountain,Humid,Low
FARM_00043,FIELD_FARM_00043_3,Northeast,45.750591,-74.794331,1228.2,Loam,7.02,3.34,27.2,79.8,156.5,8.7,798.2,75.8,25.4,Beans,Beans_Standard,2023-04-11,2023-08-05,Phosphorus_High,122.1,Subsurface_Drip,12,Minimum_Till,59.3,Medium,High,Yes,2.01,1136.26,779.59,-356.67,154.4,451.5,Alkaline,Medium,Medium,High,Medium,Medium,Cool,Low,Low,Low,Medium,4,Spring,116,Medium,-45.750971664592925,Loss,0.0017689613292732294,Low,0.013018134715025905,Low,0.004451827242524916,Low,0,Low,Mountain,Humid,High
