support,itemsets
0.0536,"['avg_temperature_category_Cool', 'fertilizer_type_Organic_Compost']"
0.0628,"['fertilizer_type_Phosphorus_High', 'avg_temperature_category_Cool']"
0.0526,"['fertilizer_type_Potassium_High', 'avg_temperature_category_Cool']"
0.0594,"['fertilizer_type_Urea', 'avg_temperature_category_Cool']"
0.0688,"['irrigation_method_Drip_Irrigation', 'avg_temperature_category_Cool']"
0.0672,"['avg_temperature_category_Cool', 'irrigation_method_Flood_Irrigation']"
0.0592,"['irrigation_method_Micro_Sprinkler', 'avg_temperature_category_Cool']"
0.0724,"['irrigation_method_Rainfall_Only', 'avg_temperature_category_Cool']"
0.0604,"['irrigation_method_Sprinkler', 'avg_temperature_category_Cool']"
0.069,"['irrigation_method_Subsurface_Drip', 'avg_temperature_category_Cool']"
0.2496,"['avg_temperature_category_Cool', 'nitrogen_content_category_High']"
0.0632,"['avg_temperature_category_Cool', 'nitrogen_content_category_Low']"
0.0842,"['avg_temperature_category_Cool', 'nitrogen_content_category_Medium']"
0.1416,"['organic_matter_percent_category_High', 'avg_temperature_category_Cool']"
0.1128,"['organic_matter_percent_category_Low', 'avg_temperature_category_Cool']"
0.1426,"['organic_matter_percent_category_Medium', 'avg_temperature_category_Cool']"
0.0716,"['pest_pressure_High', 'avg_temperature_category_Cool']"
0.1984,"['pest_pressure_Low', 'avg_temperature_category_Cool']"
0.127,"['pest_pressure_Medium', 'avg_temperature_category_Cool']"
0.397,"['planting_season_Spring', 'avg_temperature_category_Cool']"
0.0996,"['profit_category_High', 'avg_temperature_category_Cool']"
0.1022,"['profit_category_Low', 'avg_temperature_category_Cool']"
0.1,"['avg_temperature_category_Cool', 'profit_category_Medium']"
0.0952,"['profit_category_VeryHigh', 'avg_temperature_category_Cool']"
0.0596,"['region_California_Central_Valley', 'avg_temperature_category_Cool']"
0.0586,"['region_Great_Plains', 'avg_temperature_category_Cool']"
0.0576,"['region_Midwest', 'avg_temperature_category_Cool']"
0.0522,"['region_Northeast', 'avg_temperature_category_Cool']"
0.059,"['region_Pacific_Northwest', 'avg_temperature_category_Cool']"
0.0588,"['region_Southeast', 'avg_temperature_category_Cool']"
0.0512,"['region_Southwest', 'avg_temperature_category_Cool']"
0.155,"['soil_ph_category_Alkaline', 'avg_temperature_category_Cool']"
0.2414,"['soil_ph_category_Neutral', 'avg_temperature_category_Cool']"
0.0632,"['avg_temperature_category_Cool', 'soil_type_Clay']"
0.0648,"['soil_type_Clayey_Loam', 'avg_temperature_category_Cool']"
0.0688,"['soil_type_Loam', 'avg_temperature_category_Cool']"
0.0698,"['soil_type_Sandy', 'avg_temperature_category_Cool']"
0.063,"['soil_type_Sandy_Loam', 'avg_temperature_category_Cool']"
0.0674,"['soil_type_Silt', 'avg_temperature_category_Cool']"
0.0708,"['avg_temperature_category_Cool', 'tillage_type_Conventional_Till']"
0.0638,"['tillage_type_Deep_Till', 'avg_temperature_category_Cool']"
0.0648,"['tillage_type_Minimum_Till', 'avg_temperature_category_Cool']"
0.063,"['avg_temperature_category_Cool', 'tillage_type_No_Till']"
0.0682,"['tillage_type_Reduced_Till', 'avg_temperature_category_Cool']"
0.0664,"['avg_temperature_category_Cool', 'tillage_type_Strip_Till']"
0.103,"['yield_category_High', 'avg_temperature_category_Cool']"
0.1024,"['yield_category_Low', 'avg_temperature_category_Cool']"
0.0992,"['yield_category_Medium', 'avg_temperature_category_Cool']"
0.0924,"['avg_temperature_category_Cool', 'yield_category_VeryHigh']"
0.2468,"['disease_pressure_Low', 'avg_temperature_category_Moderate']"
0.116,"['disease_pressure_Medium', 'avg_temperature_category_Moderate']"
0.0562,"['fertilizer_type_Nitrogen_High', 'avg_temperature_category_Moderate']"
0.0598,"['fertilizer_type_No_Fertilizer', 'avg_temperature_category_Moderate']"
0.0574,"['fertilizer_type_Organic_Compost', 'avg_temperature_category_Moderate']"
0.0572,"['fertilizer_type_Phosphorus_High', 'avg_temperature_category_Moderate']"
0.0574,"['fertilizer_type_Potassium_High', 'avg_temperature_category_Moderate']"
0.0638,"['fertilizer_type_Urea', 'avg_temperature_category_Moderate']"
0.065,"['irrigation_method_Drip_Irrigation', 'avg_temperature_category_Moderate']"
0.0636,"['irrigation_method_Flood_Irrigation', 'avg_temperature_category_Moderate']"
0.0734,"['irrigation_method_Micro_Sprinkler', 'avg_temperature_category_Moderate']"
0.0666,"['irrigation_method_Rainfall_Only', 'avg_temperature_category_Moderate']"
0.0674,"['irrigation_method_Sprinkler', 'avg_temperature_category_Moderate']"
0.0654,"['irrigation_method_Subsurface_Drip', 'avg_temperature_category_Moderate']"
0.2566,"['avg_temperature_category_Moderate', 'nitrogen_content_category_High']"
0.0596,"['avg_temperature_category_Moderate', 'nitrogen_content_category_Low']"
0.0852,"['avg_temperature_category_Moderate', 'nitrogen_content_category_Medium']"
0.1408,"['organic_matter_percent_category_High', 'avg_temperature_category_Moderate']"
0.1034,"['organic_matter_percent_category_Low', 'avg_temperature_category_Moderate']"
0.1572,"['organic_matter_percent_category_Medium', 'avg_temperature_category_Moderate']"
0.0834,"['pest_pressure_High', 'avg_temperature_category_Moderate']"
0.1994,"['pest_pressure_Low', 'avg_temperature_category_Moderate']"
0.1186,"['pest_pressure_Medium', 'avg_temperature_category_Moderate']"
0.4014,"['planting_season_Spring', 'avg_temperature_category_Moderate']"
0.102,"['profit_category_High', 'avg_temperature_category_Moderate']"
0.0932,"['profit_category_Low', 'avg_temperature_category_Moderate']"
0.0966,"['profit_category_Medium', 'avg_temperature_category_Moderate']"
0.1096,"['profit_category_VeryHigh', 'avg_temperature_category_Moderate']"
0.0514,"['region_California_Central_Valley', 'avg_temperature_category_Moderate']"
0.0562,"['region_Great_Plains', 'avg_temperature_category_Moderate']"
0.0604,"['region_Midwest', 'avg_temperature_category_Moderate']"
0.053,"['region_Northeast', 'avg_temperature_category_Moderate']"
0.0574,"['region_Pacific_Northwest', 'avg_temperature_category_Moderate']"
0.0628,"['region_Southeast', 'avg_temperature_category_Moderate']"
0.0602,"['region_Southwest', 'avg_temperature_category_Moderate']"
0.158,"['soil_ph_category_Alkaline', 'avg_temperature_category_Moderate']"
0.2432,"['soil_ph_category_Neutral', 'avg_temperature_category_Moderate']"
0.064,"['avg_temperature_category_Moderate', 'soil_type_Clay']"
0.0696,"['soil_type_Clayey_Loam', 'avg_temperature_category_Moderate']"
0.0674,"['soil_type_Loam', 'avg_temperature_category_Moderate']"
0.065,"['soil_type_Sandy', 'avg_temperature_category_Moderate']"
0.064,"['soil_type_Sandy_Loam', 'avg_temperature_category_Moderate']"
0.0714,"['soil_type_Silt', 'avg_temperature_category_Moderate']"
0.0692,"['tillage_type_Conventional_Till', 'avg_temperature_category_Moderate']"
0.067,"['tillage_type_Deep_Till', 'avg_temperature_category_Moderate']"
0.061,"['tillage_type_Minimum_Till', 'avg_temperature_category_Moderate']"
0.0746,"['avg_temperature_category_Moderate', 'tillage_type_No_Till']"
0.0692,"['tillage_type_Reduced_Till', 'avg_temperature_category_Moderate']"
0.0604,"['avg_temperature_category_Moderate', 'tillage_type_Strip_Till']"
0.0922,"['yield_category_High', 'avg_temperature_category_Moderate']"
0.0934,"['yield_category_Low', 'avg_temperature_category_Moderate']"
0.1002,"['yield_category_Medium', 'avg_temperature_category_Moderate']"
0.1156,"['yield_category_VeryHigh', 'avg_temperature_category_Moderate']"
0.1182,"['avg_temperature_category_Warm', 'disease_pressure_Low']"
0.0646,"['disease_pressure_Medium', 'avg_temperature_category_Warm']"
0.1182,"['avg_temperature_category_Warm', 'nitrogen_content_category_High']"
0.0744,"['organic_matter_percent_category_High', 'avg_temperature_category_Warm']"
0.0554,"['organic_matter_percent_category_Low', 'avg_temperature_category_Warm']"
0.0718,"['organic_matter_percent_category_Medium', 'avg_temperature_category_Warm']"
0.103,"['pest_pressure_Low', 'avg_temperature_category_Warm']"
0.0586,"['pest_pressure_Medium', 'avg_temperature_category_Warm']"
0.2016,"['planting_season_Spring', 'avg_temperature_category_Warm']"
0.0546,"['profit_category_Low', 'avg_temperature_category_Warm']"
0.0534,"['avg_temperature_category_Warm', 'profit_category_Medium']"
0.0814,"['soil_ph_category_Alkaline', 'avg_temperature_category_Warm']"
0.1198,"['soil_ph_category_Neutral', 'avg_temperature_category_Warm']"
0.0548,"['yield_category_High', 'avg_temperature_category_Warm']"
0.0544,"['yield_category_Low', 'avg_temperature_category_Warm']"
0.0504,"['yield_category_Medium', 'avg_temperature_category_Warm']"
0.0562,"['crop_type_Carrots', 'disease_pressure_Low']"
0.0554,"['crop_type_Carrots', 'nitrogen_content_category_High']"
0.0924,"['planting_season_Spring', 'crop_type_Carrots']"
0.0568,"['soil_ph_category_Neutral', 'crop_type_Carrots']"
0.0574,"['crop_type_Corn', 'disease_pressure_Low']"
0.067,"['crop_type_Corn', 'nitrogen_content_category_High']"
0.052,"['pest_pressure_Low', 'crop_type_Corn']"
0.1002,"['planting_season_Spring', 'crop_type_Corn']"
0.0602,"['crop_type_Corn', 'soil_ph_category_Neutral']"
0.0906,"['yield_category_Medium', 'crop_type_Corn']"
0.0638,"['crop_type_Cotton', 'disease_pressure_Low']"
0.066,"['crop_type_Cotton', 'nitrogen_content_category_High']"
0.0532,"['pest_pressure_Low', 'crop_type_Cotton']"
0.1044,"['planting_season_Spring', 'crop_type_Cotton']"
0.095,"['profit_category_Low', 'crop_type_Cotton']"
0.0642,"['soil_ph_category_Neutral', 'crop_type_Cotton']"
0.1044,"['yield_category_Low', 'crop_type_Cotton']"
0.056,"['crop_type_Lettuce', 'disease_pressure_Low']"
0.0578,"['crop_type_Lettuce', 'nitrogen_content_category_High']"
0.0948,"['crop_type_Lettuce', 'planting_season_Spring']"
0.052,"['crop_type_Lettuce', 'profit_category_High']"
0.0562,"['crop_type_Lettuce', 'soil_ph_category_Neutral']"
0.0898,"['yield_category_High', 'crop_type_Lettuce']"
0.0652,"['disease_pressure_Low', 'crop_type_Onions']"
0.0686,"['crop_type_Onions', 'nitrogen_content_category_High']"
0.054,"['pest_pressure_Low', 'crop_type_Onions']"
0.106,"['planting_season_Spring', 'crop_type_Onions']"
0.0518,"['profit_category_High', 'crop_type_Onions']"
0.0668,"['soil_ph_category_Neutral', 'crop_type_Onions']"
0.077,"['yield_category_High', 'crop_type_Onions']"
0.064,"['crop_type_Potatoes', 'disease_pressure_Low']"
0.0618,"['crop_type_Potatoes', 'nitrogen_content_category_High']"
0.1008,"['planting_season_Spring', 'crop_type_Potatoes']"
0.066,"['profit_category_VeryHigh', 'crop_type_Potatoes']"
0.0556,"['crop_type_Potatoes', 'soil_ph_category_Neutral']"
0.0754,"['crop_type_Potatoes', 'yield_category_VeryHigh']"
0.0552,"['crop_type_Rice', 'disease_pressure_Low']"
0.06,"['crop_type_Rice', 'nitrogen_content_category_High']"
0.053,"['pest_pressure_Low', 'crop_type_Rice']"
0.1024,"['planting_season_Spring', 'crop_type_Rice']"
0.0608,"['crop_type_Rice', 'profit_category_Medium']"
0.059,"['crop_type_Rice', 'soil_ph_category_Neutral']"
0.1006,"['yield_category_Medium', 'crop_type_Rice']"
0.0594,"['crop_type_Soybeans', 'disease_pressure_Low']"
0.0622,"['crop_type_Soybeans', 'nitrogen_content_category_High']"
0.0504,"['pest_pressure_Low', 'crop_type_Soybeans']"
0.0996,"['crop_type_Soybeans', 'planting_season_Spring']"
0.066,"['crop_type_Soybeans', 'profit_category_Low']"
0.0606,"['crop_type_Soybeans', 'soil_ph_category_Neutral']"
0.0914,"['yield_category_Low', 'crop_type_Soybeans']"
0.062,"['crop_type_Tomatoes', 'disease_pressure_Low']"
0.0606,"['crop_type_Tomatoes', 'nitrogen_content_category_High']"
0.0986,"['planting_season_Spring', 'crop_type_Tomatoes']"
0.0756,"['profit_category_VeryHigh', 'crop_type_Tomatoes']"
0.064,"['soil_ph_category_Neutral', 'crop_type_Tomatoes']"
0.0978,"['crop_type_Tomatoes', 'yield_category_VeryHigh']"
0.0596,"['crop_type_Wheat', 'disease_pressure_Low']"
0.065,"['crop_type_Wheat', 'nitrogen_content_category_High']"
0.1008,"['planting_season_Spring', 'crop_type_Wheat']"
0.0508,"['crop_type_Wheat', 'profit_category_Low']"
0.061,"['crop_type_Wheat', 'soil_ph_category_Neutral']"
0.053,"['yield_category_Low', 'crop_type_Wheat']"
0.065,"['disease_pressure_High', 'nitrogen_content_category_High']"
0.051,"['pest_pressure_Low', 'disease_pressure_High']"
0.1062,"['planting_season_Spring', 'disease_pressure_High']"
0.0646,"['disease_pressure_High', 'soil_ph_category_Neutral']"
0.0756,"['fertilizer_type_NPK_Balanced', 'disease_pressure_Low']"
0.0848,"['disease_pressure_Low', 'fertilizer_type_Nitrogen_High']"
0.0862,"['disease_pressure_Low', 'fertilizer_type_No_Fertilizer']"
0.0818,"['disease_pressure_Low', 'fertilizer_type_Organic_Compost']"
0.0906,"['fertilizer_type_Phosphorus_High', 'disease_pressure_Low']"
0.0832,"['disease_pressure_Low', 'fertilizer_type_Potassium_High']"
0.0966,"['fertilizer_type_Urea', 'disease_pressure_Low']"
0.0978,"['irrigation_method_Drip_Irrigation', 'disease_pressure_Low']"
0.097,"['disease_pressure_Low', 'irrigation_method_Flood_Irrigation']"
0.1022,"['irrigation_method_Micro_Sprinkler', 'disease_pressure_Low']"
0.1036,"['irrigation_method_Rainfall_Only', 'disease_pressure_Low']"
0.0958,"['irrigation_method_Sprinkler', 'disease_pressure_Low']"
0.1024,"['disease_pressure_Low', 'irrigation_method_Subsurface_Drip']"
0.376,"['disease_pressure_Low', 'nitrogen_content_category_High']"
0.0976,"['disease_pressure_Low', 'nitrogen_content_category_Low']"
0.1252,"['disease_pressure_Low', 'nitrogen_content_category_Medium']"
0.212,"['organic_matter_percent_category_High', 'disease_pressure_Low']"
0.1634,"['organic_matter_percent_category_Low', 'disease_pressure_Low']"
0.2234,"['organic_matter_percent_category_Medium', 'disease_pressure_Low']"
0.1156,"['pest_pressure_High', 'disease_pressure_Low']"
0.2954,"['pest_pressure_Low', 'disease_pressure_Low']"
0.1878,"['pest_pressure_Medium', 'disease_pressure_Low']"
0.5988,"['planting_season_Spring', 'disease_pressure_Low']"
0.1504,"['profit_category_High', 'disease_pressure_Low']"
0.1428,"['profit_category_Low', 'disease_pressure_Low']"
0.145,"['disease_pressure_Low', 'profit_category_Medium']"
0.1606,"['profit_category_VeryHigh', 'disease_pressure_Low']"
0.083,"['region_California_Central_Valley', 'disease_pressure_Low']"
0.0842,"['region_Great_Plains', 'disease_pressure_Low']"
0.0918,"['region_Midwest', 'disease_pressure_Low']"
0.081,"['region_Northeast', 'disease_pressure_Low']"
0.0864,"['region_Pacific_Northwest', 'disease_pressure_Low']"
0.089,"['region_Southeast', 'disease_pressure_Low']"
0.0834,"['region_Southwest', 'disease_pressure_Low']"
0.2406,"['soil_ph_category_Alkaline', 'disease_pressure_Low']"
0.3574,"['soil_ph_category_Neutral', 'disease_pressure_Low']"
0.098,"['disease_pressure_Low', 'soil_type_Clay']"
0.1008,"['soil_type_Clayey_Loam', 'disease_pressure_Low']"
0.1044,"['soil_type_Loam', 'disease_pressure_Low']"
0.0988,"['soil_type_Sandy', 'disease_pressure_Low']"
0.0894,"['soil_type_Sandy_Loam', 'disease_pressure_Low']"
0.1074,"['disease_pressure_Low', 'soil_type_Silt']"
0.1004,"['disease_pressure_Low', 'tillage_type_Conventional_Till']"
0.0996,"['tillage_type_Deep_Till', 'disease_pressure_Low']"
0.0984,"['tillage_type_Minimum_Till', 'disease_pressure_Low']"
0.1042,"['disease_pressure_Low', 'tillage_type_No_Till']"
0.1016,"['tillage_type_Reduced_Till', 'disease_pressure_Low']"
0.0946,"['disease_pressure_Low', 'tillage_type_Strip_Till']"
0.143,"['yield_category_High', 'disease_pressure_Low']"
0.1464,"['yield_category_Low', 'disease_pressure_Low']"
0.1436,"['yield_category_Medium', 'disease_pressure_Low']"
0.1658,"['disease_pressure_Low', 'yield_category_VeryHigh']"
0.052,"['irrigation_method_Drip_Irrigation', 'disease_pressure_Medium']"
0.0518,"['irrigation_method_Rainfall_Only', 'disease_pressure_Medium']"
0.0506,"['disease_pressure_Medium', 'irrigation_method_Sprinkler']"
0.1834,"['disease_pressure_Medium', 'nitrogen_content_category_High']"
0.0646,"['disease_pressure_Medium', 'nitrogen_content_category_Medium']"
0.104,"['organic_matter_percent_category_High', 'disease_pressure_Medium']"
0.0816,"['disease_pressure_Medium', 'organic_matter_percent_category_Low']"
0.1094,"['organic_matter_percent_category_Medium', 'disease_pressure_Medium']"
0.0572,"['pest_pressure_High', 'disease_pressure_Medium']"
0.1544,"['pest_pressure_Low', 'disease_pressure_Medium']"
0.0834,"['pest_pressure_Medium', 'disease_pressure_Medium']"
0.295,"['planting_season_Spring', 'disease_pressure_Medium']"
0.0748,"['disease_pressure_Medium', 'profit_category_High']"
0.0738,"['profit_category_Low', 'disease_pressure_Medium']"
0.0776,"['disease_pressure_Medium', 'profit_category_Medium']"
0.0688,"['profit_category_VeryHigh', 'disease_pressure_Medium']"
0.1122,"['soil_ph_category_Alkaline', 'disease_pressure_Medium']"
0.1824,"['soil_ph_category_Neutral', 'disease_pressure_Medium']"
0.0508,"['soil_type_Loam', 'disease_pressure_Medium']"
0.0502,"['soil_type_Sandy', 'disease_pressure_Medium']"
0.0526,"['soil_type_Sandy_Loam', 'disease_pressure_Medium']"
0.05,"['disease_pressure_Medium', 'soil_type_Silt']"
0.054,"['tillage_type_Reduced_Till', 'disease_pressure_Medium']"
0.0734,"['yield_category_High', 'disease_pressure_Medium']"
0.0728,"['yield_category_Low', 'disease_pressure_Medium']"
0.0802,"['yield_category_Medium', 'disease_pressure_Medium']"
0.0686,"['disease_pressure_Medium', 'yield_category_VeryHigh']"
0.0816,"['fertilizer_type_NPK_Balanced', 'nitrogen_content_category_High']"
0.0518,"['organic_matter_percent_category_Medium', 'fertilizer_type_NPK_Balanced']"
0.066,"['pest_pressure_Low', 'fertilizer_type_NPK_Balanced']"
0.134,"['planting_season_Spring', 'fertilizer_type_NPK_Balanced']"
0.0524,"['soil_ph_category_Alkaline', 'fertilizer_type_NPK_Balanced']"
